epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
5.0,8.0,52.0,2720.0,100.0,1.9230769,21.0,21.0,672.96375,0.009903,4.8875,,,
10.0,7.0,130.0,6720.0,200.0,1.5384616,17.0,19.0,4352.6235,0.009803,4.775,,,
14.0,15.0,210.0,10720.0,300.0,1.4285715,25.0,21.0,516.51117,0.009703,4.6625,,,
18.0,23.0,290.0,14720.0,400.0,1.3793104,12.0,18.75,2492.844,0.009603,4.55,,,
21.0,25.0,369.0,18720.0,500.0,1.3550136,52.0,25.4,6158.048,0.009503,4.4375,,,
25.0,4.0,448.0,22720.0,600.0,1.3392857,30.0,26.166666,4096.9497,0.009403,4.325,,,
33.0,2.0,529.0,26720.0,700.0,1.3232514,10.0,23.857143,4508.7544,0.009303,4.2125,,,
38.0,3.0,607.0,30720.0,800.0,1.3179572,13.0,22.5,3742.794,0.009203,4.1,,,
41.0,42.0,686.0,34720.0,900.0,1.3119533,34.0,23.777779,7241.1196,0.009103,3.9875,,,
46.0,6.0,757.0,38720.0,1000.0,1.3210039,28.0,24.2,14044.144,0.009003,3.875,,,
