epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
91.0,3.0,109.0,38720.0,1000.0,9.174312,11.0,11.0,28.903677,0.009003,3.875,,,
182.0,2.0,218.0,78720.0,2000.0,9.174312,11.0,11.0,13.656246,0.008003,2.75,,,
273.0,3.0,326.0,118720.0,3000.0,9.202454,11.0,11.0,28.920517,0.007003,1.625,,,
364.0,2.0,434.0,158720.0,4000.0,9.21659,11.0,11.0,17.178648,0.006003,0.5,,,
455.0,1.0,542.0,198720.0,5000.0,9.225092,11.0,11.0,17.374775,0.005003,0.5,,,
545.0,11.0,650.0,238720.0,6000.0,9.230769,11.0,11.0,23.126358,0.004003,0.5,,,
636.0,10.0,758.0,278720.0,7000.0,9.234829,11.0,11.0,22.867344,0.003003,0.5,,,
727.0,9.0,866.0,318720.0,8000.0,9.237875,11.0,11.0,22.74558,0.002003,0.5,,,
818.0,8.0,974.0,358720.0,9000.0,9.240247,11.0,11.0,18.065462,0.001003,0.5,,,
909.0,7.0,1082.0,398720.0,10000.0,9.242145,11.0,11.0,10.894674,3e-06,0.5,,,
