epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
90.0,11.0,187.0,38720.0,1000.0,5.347594,11.0,11.0,43.01591,0.009003,0.7625,,,
181.0,11.0,375.0,78720.0,2000.0,5.3333335,11.0,11.0,21.406185,0.008003,0.525,,,
272.0,11.0,566.0,118720.0,3000.0,5.3003535,10.0,10.666667,23.087772,0.007003,0.2875,,,
363.0,10.0,757.0,158720.0,4000.0,5.2840157,10.0,10.5,14.031862,0.006003,0.05,,,
454.0,9.0,949.0,198720.0,5000.0,5.268704,11.0,10.6,11.667703,0.005003,0.05,,,
545.0,8.0,1143.0,238720.0,6000.0,5.249344,11.0,10.666667,14.705065,0.004003,0.05,,,
636.0,8.0,1335.0,278720.0,7000.0,5.243446,10.0,10.571428,13.479906,0.003003,0.05,,,
727.0,7.0,1527.0,318720.0,8000.0,5.239031,10.0,10.5,13.748253,0.002003,0.05,,,
818.0,7.0,1718.0,358720.0,9000.0,5.2386494,11.0,10.555555,8.337305,0.001003,0.05,,,
909.0,6.0,1852.0,398720.0,10000.0,5.399568,11.0,10.6,8.295415,3e-06,0.05,,,
