epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
4.0,29.0,44.0,2720.0,100.0,2.2727273,10.0,10.0,392.00726,0.009903,4.8875,,,
6.0,54.0,102.0,6720.0,200.0,1.9607843,20.0,15.0,2224.647,0.009803,4.775,,,
12.0,16.0,161.0,10720.0,300.0,1.8633541,18.0,16.0,20334.35,0.009703,4.6625,,,
14.0,39.0,221.0,14720.0,400.0,1.8099548,32.0,20.0,4619.6636,0.009603,4.55,,,
15.0,46.0,282.0,18720.0,500.0,1.7730496,93.0,34.6,1710.7095,0.009503,4.4375,,,
15.0,146.0,343.0,22720.0,600.0,1.7492712,93.0,44.333332,1238.7983,0.009403,4.325,,,
16.0,46.0,405.0,26720.0,700.0,1.7283951,200.0,66.57143,1980.0491,0.009303,4.2125,,,
18.0,10.0,467.0,30720.0,800.0,1.713062,30.0,62.0,2420.0671,0.009203,4.1,,,
20.0,23.0,525.0,34720.0,900.0,1.7142857,30.0,58.444443,16444.086,0.009103,3.9875,,,
23.0,26.0,586.0,38720.0,1000.0,1.7064847,32.0,55.8,127361.27,0.009003,3.875,,,
