epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
3.0,23.0,51.0,2720.0,100.0,1.9607843,41.0,41.0,54981.47,0.009903,4.8875,,,
7.0,4.0,128.0,6720.0,200.0,1.5625,63.0,52.0,34163.18,0.009803,4.775,,,
12.0,25.0,209.0,10720.0,300.0,1.4354067,17.0,40.333332,46096.57,0.009703,4.6625,,,
16.0,19.0,288.0,14720.0,400.0,1.3888888,18.0,34.75,14569.937,0.009603,4.55,,,
20.0,17.0,366.0,18720.0,500.0,1.3661202,24.0,32.6,158468.06,0.009503,4.4375,,,
26.0,5.0,443.0,22720.0,600.0,1.3544018,13.0,29.333334,271661.2,0.009403,4.325,,,
31.0,1.0,522.0,26720.0,700.0,1.3409961,15.0,27.285715,56078.984,0.009303,4.2125,,,
35.0,8.0,601.0,30720.0,800.0,1.3311148,16.0,25.875,253715.23,0.009203,4.1,,,
39.0,14.0,676.0,34720.0,900.0,1.3313609,12.0,24.333334,672999.44,0.009103,3.9875,,,
43.0,20.0,751.0,38720.0,1000.0,1.3315579,22.0,24.1,614060.1,0.009003,3.875,,,
