epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
10.0,27.0,94.0,18720.0,500.0,5.319149,10.0,10.0,1753.6763,0.009503,4.4375,,,
20.0,74.0,185.0,38720.0,1000.0,5.4054055,84.0,47.0,100535.52,0.009003,3.875,,,
25.0,1.0,276.0,58720.0,1500.0,5.4347825,200.0,98.0,2373078.0,0.008503,3.3125,,,
33.0,42.0,368.0,78720.0,2000.0,5.4347825,30.0,81.0,16486294.0,0.008003,2.75,,,
36.0,149.0,459.0,98720.0,2500.0,5.4466233,132.0,91.2,61713452.0,0.007503,2.1875,,,
40.0,67.0,550.0,118720.0,3000.0,5.4545455,144.0,100.0,146287090.0,0.007003,1.625,,,
43.0,122.0,642.0,138720.0,3500.0,5.4517136,121.0,103.0,4274979600.0,0.006503,1.0625,,,
47.0,106.0,734.0,158720.0,4000.0,5.449591,135.0,107.0,12941921000.0,0.006003,0.5,,,
50.0,83.0,827.0,178720.0,4500.0,5.4413543,200.0,117.333336,24894288.0,0.005503,0.5,,,
52.0,183.0,919.0,198720.0,5000.0,5.4406962,200.0,125.6,72251080.0,0.005003,0.5,,,
57.0,63.0,1012.0,218720.0,5500.0,5.4347825,10.0,115.09091,8137918500.0,0.004503,0.5,,,
96.0,6.0,1103.0,238720.0,6000.0,5.4397097,9.0,106.25,2441866800.0,0.004003,0.5,,,
104.0,39.0,1194.0,258720.0,6500.0,5.4438863,200.0,113.46154,586870000.0,0.003503,0.5,,,
113.0,17.0,1286.0,278720.0,7000.0,5.443235,83.0,111.28571,2072051100.0,0.003003,0.5,,,
118.0,97.0,1378.0,298720.0,7500.0,5.4426703,108.0,111.066666,66060850000.0,0.002503,0.5,,,
123.0,79.0,1469.0,318720.0,8000.0,5.4458814,98.0,110.25,32829690000.0,0.002003,0.5,,,
128.0,49.0,1569.0,338720.0,8500.0,5.4174633,106.0,110.0,192517100000.0,0.001503,0.5,,,
133.0,6.0,1661.0,358720.0,9000.0,5.4184227,110.0,110.0,96533684000.0,0.001003,0.5,,,
137.0,71.0,1753.0,378720.0,9500.0,5.419281,105.0,109.73684,122795745000.0,0.000503,0.5,,,
142.0,12.0,1840.0,398720.0,10000.0,5.4347825,110.0,109.75,321404140000.0,3e-06,0.5,,,
