epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,5.0,,,
20.0,5.0,932.0,18720.0,500.0,0.53648067,16.0,16.0,531885600.0,0.009503,4.4375,,,
30.0,72.0,1913.0,38720.0,1000.0,0.5227392,61.0,38.5,2197352000.0,0.009003,3.875,,,
35.0,57.0,2884.0,58720.0,1500.0,0.52011096,104.0,60.333332,213302500.0,0.008503,3.3125,,,
42.0,48.0,3921.0,78720.0,2000.0,0.51007396,73.0,63.5,127064105000.0,0.008003,2.75,,,
50.0,34.0,4918.0,98720.0,2500.0,0.5083367,88.0,68.4,1686165700000.0,0.007503,2.1875,,,
56.0,19.0,5878.0,118720.0,3000.0,0.5103777,99.0,73.5,3449229400000.0,0.007003,1.625,,,
72.0,10.0,6887.0,138720.0,3500.0,0.50820386,17.0,65.42857,30088024000000.0,0.006503,1.0625,,,
89.0,47.0,7886.0,158720.0,4000.0,0.507228,117.0,71.875,2089704800000.0,0.006003,0.5,,,
93.0,48.0,8903.0,178720.0,4500.0,0.5054476,131.0,78.44444,28263217000.0,0.005503,0.5,,,
97.0,36.0,10003.0,198720.0,5000.0,0.49985003,138.0,84.4,1818745600.0,0.005003,0.5,,,
106.0,5.0,11125.0,218720.0,5500.0,0.49438202,11.0,77.72727,688490940000.0,0.004503,0.5,,,
147.0,47.0,12184.0,238720.0,6000.0,0.4924491,62.0,76.416664,9818773000000.0,0.004003,0.5,,,
156.0,21.0,13237.0,258720.0,6500.0,0.49104783,53.0,74.61539,3970959000000.0,0.003503,0.5,,,
166.0,15.0,14314.0,278720.0,7000.0,0.48903173,49.0,72.78571,6538365000000.0,0.003003,0.5,,,
178.0,30.0,15331.0,298720.0,7500.0,0.48920488,44.0,70.86667,6135621000000.0,0.002503,0.5,,,
192.0,42.0,16373.0,318720.0,8000.0,0.48860928,27.0,68.125,3098034000000.0,0.002003,0.5,,,
204.0,17.0,17433.0,338720.0,8500.0,0.487581,48.0,66.94118,23487104000000.0,0.001503,0.5,,,
215.0,13.0,18103.0,358720.0,9000.0,0.49715516,42.0,65.55556,27587779000000.0,0.001003,0.5,,,
228.0,12.0,18778.0,378720.0,9500.0,0.5059112,28.0,63.57895,97734870000000.0,0.000503,0.5,,,
241.0,14.0,19341.0,398720.0,10000.0,0.5170363,42.0,62.5,19052313000000.0,3e-06,0.5,,,
