epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
140.0,3.0,129.0,700.0,10000.0,77.51938,149.0,149.0,-0.20778047,0.002,,0.0055,0.55530614,
205.0,57.0,236.0,1025.0,20000.0,84.745766,124.0,136.5,0.40165138,0.002,,0.001,0.5738693,
257.0,127.0,368.0,1285.0,30000.0,81.521736,200.0,157.66667,0.28161865,0.002,,0.001,0.54073656,
309.0,117.0,494.0,1545.0,40000.0,80.97166,200.0,168.25,0.2063314,0.002,,0.001,0.52967346,
363.0,175.0,614.0,1815.0,50000.0,81.43323,200.0,174.6,-1.0383674,0.002,,0.001,0.52132773,
414.0,99.0,744.0,2070.0,60000.0,80.645164,200.0,178.83333,0.24467775,0.002,,0.001,0.5186505,
467.0,64.0,872.0,2335.0,70000.0,80.27523,200.0,181.85715,-0.6159005,0.002,,0.001,0.5103601,
517.0,85.0,997.0,2585.0,80000.0,80.24072,200.0,184.125,-0.37842503,0.002,,0.001,0.5119564,
567.0,85.0,1115.0,2835.0,90000.0,80.71749,200.0,185.88889,-0.10467506,0.002,,0.001,0.54004496,
617.0,168.0,1254.0,3085.0,100000.0,79.74482,200.0,187.3,-0.36013517,0.002,,0.001,0.52202666,
