epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.002,,0.01,,
173.0,50.0,969.0,865.0,10000.0,10.319918,95.0,95.0,22.690065,0.002,,0.0055,0.5924261,
266.0,35.0,1931.0,1330.0,20000.0,10.357327,144.0,119.5,27.828533,0.002,,0.001,0.6187559,
324.0,197.0,2907.0,1620.0,30000.0,10.319918,200.0,146.33333,33.265316,0.002,,0.001,0.5940252,
385.0,27.0,3882.0,1925.0,40000.0,10.303967,131.0,142.5,24.338364,0.002,,0.001,0.5560963,
441.0,92.0,4869.0,2205.0,50000.0,10.269049,150.0,144.0,27.883547,0.002,,0.001,0.5275318,
510.0,13.0,5855.0,2550.0,60000.0,10.247652,87.0,134.5,18.310163,0.002,,0.001,0.49161837,
590.0,85.0,6828.0,2950.0,70000.0,10.251904,123.0,132.85715,20.015102,0.002,,0.001,0.5327303,
646.0,74.0,7789.0,3230.0,80000.0,10.270895,200.0,141.25,28.503853,0.002,,0.001,0.5400805,
724.0,45.0,8751.0,3620.0,90000.0,10.284539,193.0,147.0,28.226183,0.002,,0.001,0.49099234,
774.0,132.0,9674.0,3870.0,100000.0,10.336986,200.0,152.3,29.440187,0.002,,0.001,0.4891642,
