epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0005,1.0,,,
692.0,7.0,1802.0,12000.0,10000.0,5.5493894,10.0,10.0,0.095822066,0.0005,0.05,,,
1462.0,15.0,5243.0,24000.0,20000.0,3.81461,18.0,14.0,0.029240692,0.0005,0.05,,,
2004.0,3.0,8669.0,36000.0,30000.0,3.4606068,9.0,12.333333,1096.5864,0.0005,0.05,,,
2733.0,7.0,12286.0,48000.0,40000.0,3.2557383,9.0,11.5,0.039999656,0.0005,0.05,,,
3484.0,8.0,15954.0,60000.0,50000.0,3.1340103,9.0,11.0,0.63576204,0.0005,0.05,,,
4072.0,17.0,19588.0,72000.0,60000.0,3.0630999,52.0,17.833334,0.13674147,0.0005,0.05,,,
4613.0,2.0,23206.0,84000.0,70000.0,3.0164614,13.0,17.142857,3959.6392,0.0005,0.05,,,
5175.0,8.0,26776.0,96000.0,80000.0,2.9877503,19.0,17.375,0.01539282,0.0005,0.05,,,
5691.0,16.0,30405.0,108000.0,90000.0,2.9600394,16.0,17.222221,4565.241,0.0005,0.05,,,
6217.0,12.0,33977.0,120000.0,100000.0,2.9431674,25.0,18.0,0.026123483,0.0005,0.05,,,
