epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
374.0,10.0,1302.0,12000.0,10000.0,7.6804914,16.0,16.0,2.636896,0.01,0.05,,,
695.0,80.0,3961.0,24000.0,20000.0,5.04923,200.0,108.0,0.32383975,0.01,0.05,,,
746.0,24.0,6552.0,36000.0,30000.0,4.5787544,200.0,138.66667,0.42357054,0.01,0.05,,,
802.0,173.0,9276.0,48000.0,40000.0,4.3122034,200.0,154.0,0.26748714,0.01,0.05,,,
857.0,103.0,11937.0,60000.0,50000.0,4.1886573,200.0,163.2,0.2257008,0.01,0.05,,,
915.0,30.0,14556.0,72000.0,60000.0,4.1220117,200.0,169.33333,0.015942255,0.01,0.05,,,
973.0,182.0,17207.0,84000.0,70000.0,4.068112,200.0,173.71428,0.14550357,0.01,0.05,,,
1033.0,1.0,19948.0,96000.0,80000.0,4.010427,200.0,177.0,1321.8915,0.01,0.05,,,
1111.0,86.0,22522.0,108000.0,90000.0,3.9960928,200.0,179.55556,0.33455905,0.01,0.05,,,
1175.0,132.0,25233.0,120000.0,100000.0,3.9630642,200.0,181.6,0.04004714,0.01,0.05,,,
